ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Security_Type,Status,ZipCode
103702,2019,,Joint,nopre,type1,p3,l1,nopc,nob/c,636500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,11520.0,CIB,823,EXP,65-74,to_inst,North,direct,yes,23967
99340,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,366500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-4800.0,CIB,570,CIB,25-34,not_inst,south,direct,Yes,74724
124952,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5580.0,EXP,545,CIB,45-54,not_inst,North,direct,no ,86754
110523,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9960.0,EXP,796,EXP,35-44,not_inst,south,direct,no ,17131
79661,2019,ncf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,136500,324.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,-3900.0,CIB,705,CIB,55-64,to_inst,south,direct,no ,31344
122478,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,166500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2340.0,EQUI,691,EXP,<25,to_inst,North,direct,yes,22464
103380,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,76500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2040.0,EXP,781,CIB,25-34,to_inst,North,direct,no ,33344
62287,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,2U,-18480.0,CRIF,837,CIB,35-44,to_inst,south,direct,no,29349
58449,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10920.0,CRIF,897,EXP,45-54,to_inst,south,direct,no ,48334
47165,2019,cf,Male,nopre,type1,p4,l2,nopc,nob/c,206500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3420.0,EQUI,731,EXP,55-64,to_inst,North,direct,yes,73069
69152,2019,ncf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,756500,180.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,17880.0,CRIF,840,EXP,65-74,to_inst,south,direct,Yes,52788
71289,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,136500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5460.0,EXP,621,CIB,35-44,to_inst,south,direct,no ,56132
27876,2019,cf,Female,nopre,type2,p1,l1,nopc,b/c,206500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5220.0,EXP,830,CIB,65-74,to_inst,North,direct,Yes,43094
89524,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7260.0,CIB,778,CIB,35-44,to_inst,North,direct,no,85275
44719,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,116500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1680.0,CIB,700,CIB,55-64,to_inst,North,direct,no,74649
64201,2019,,Female,nopre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4320.0,EXP,524,CIB,65-74,not_inst,North,direct,no ,27679
122922,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,366500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3840.0,EXP,792,CIB,25-34,not_inst,North,direct,no,77290
91018,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,166500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,2940.0,CRIF,542,CIB,45-54,to_inst,south,direct,no ,20205
32872,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,156500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3360.0,CRIF,772,CIB,25-34,to_inst,North,direct,no ,43966
59465,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,228.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-3900.0,CIB,558,CIB,45-54,not_inst,North,direct,no,75027
82209,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,176500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7740.0,CIB,821,EXP,35-44,to_inst,south,direct,no ,66971
32417,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,666500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7740.0,EXP,866,EXP,35-44,not_inst,south,direct,no,24117
67969,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9180.0,CIB,704,CIB,35-44,to_inst,south,direct,no ,96396
124919,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3360.0,CIB,684,CIB,45-54,not_inst,south,direct,Yes,21262
25694,2019,ncf,Male,pre,type1,p1,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7200.0,CIB,695,EXP,35-44,to_inst,North,direct,no,64259
74597,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,466500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,6240.0,EQUI,854,EXP,35-44,not_inst,North,direct,yes,60641
29541,2019,ncf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,286500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,13140.0,CRIF,739,EXP,35-44,to_inst,south,direct,no,25319
103333,2019,ncf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,1056500,360.0,not_neg,int_only,not_lpsm,sb,sr,home,1U,67560.0,CRIF,834,CIB,25-34,not_inst,south,direct,yes,39153
108618,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,596500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,8100.0,CIB,684,EXP,55-64,not_inst,North,direct,no,87265
76039,2019,cf,Joint,pre,type2,p1,l1,nopc,b/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6420.0,CIB,515,EXP,25-34,not_inst,North,direct,no,82383
114251,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,446500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-5220.0,EXP,872,CIB,65-74,not_inst,North,direct,no ,29761
64317,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-2280.0,CRIF,572,CIB,65-74,to_inst,North,direct,no ,59906
108734,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,96500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1140.0,EXP,842,CIB,55-64,to_inst,North,direct,no,46610
101927,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8100.0,EXP,500,EXP,55-64,to_inst,North,direct,Yes,67329
55774,2019,ncf,Male,nopre,type1,p4,l1,nopc,nob/c,566500,324.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,7860.0,CIB,879,CIB,45-54,not_inst,south,direct,Yes,36388
30942,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,346500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4740.0,EQUI,511,EXP,>74,to_inst,North,direct,yes,11799
96975,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,486500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8220.0,CIB,826,CIB,65-74,not_inst,south,direct,no ,75683
34162,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,416500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7380.0,CIB,590,EXP,45-54,not_inst,North,direct,no,12995
72508,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,EXP,522,EXP,65-74,to_inst,North,direct,no,56863
83771,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,196500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,2700.0,EXP,667,CIB,35-44,not_inst,North,direct,no,18536
127989,2019,cf,Joint,nopre,type1,p2,l1,opc,nob/c,106500,360.0,neg_amm,int_only,not_lpsm,sb,pr,home,1U,-10080.0,CRIF,818,EXP,55-64,to_inst,North,direct,no,26552
34117,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5160.0,CIB,527,EXP,65-74,to_inst,south,direct,no,38680
58147,2019,,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,126500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2520.0,CRIF,540,CIB,55-64,to_inst,North,direct,no,50938
105516,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,516500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,13380.0,CIB,693,EXP,35-44,not_inst,south,direct,no ,20930
59645,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,186500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3240.0,CRIF,797,CIB,45-54,to_inst,south,direct,no,55714
108706,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,116500,180.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3000.0,CIB,560,CIB,35-44,to_inst,south,direct,no,28032
73599,2019,ncf,Male,nopre,type1,p4,l1,nopc,nob/c,956500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,17280.0,EXP,568,EXP,45-54,to_inst,North,direct,no ,21357
65467,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12120.0,CIB,666,EXP,35-44,not_inst,North,direct,no ,14608
90174,2019,cf,Male,nopre,type1,p2,l1,nopc,nob/c,206500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12120.0,CRIF,596,CIB,55-64,to_inst,North,direct,no ,18686
101373,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,446500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8400.0,CIB,621,CIB,45-54,not_inst,North,direct,no,14345
88732,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,216500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6000.0,CIB,554,EXP,65-74,to_inst,south,direct,no ,23550
102871,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,146500,180.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,6900.0,CIB,747,EXP,45-54,to_inst,south,direct,Yes,36406
39556,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,326500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-3060.0,CIB,571,CIB,35-44,not_inst,North,direct,no,11015
41741,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,396500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-8580.0,EXP,506,CIB,35-44,not_inst,North,direct,no ,99900
98497,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,446500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,5400.0,CIB,586,CIB,45-54,not_inst,south,direct,no ,24356
94144,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,386500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6600.0,CRIF,749,CIB,35-44,to_inst,south,direct,no,92186
85886,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,236500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,13800.0,CRIF,876,EXP,65-74,to_inst,south,direct,no ,89472
54127,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,156500,348.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2280.0,CIB,743,CIB,45-54,to_inst,south,direct,no,67718
105533,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,446500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,6480.0,CIB,888,CIB,35-44,not_inst,North,direct,no,59129
111076,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5520.0,EXP,553,CIB,25-34,to_inst,North,direct,no,90942
77898,2019,cf,Female,nopre,type2,p3,l2,nopc,b/c,86500,300.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,2580.0,EXP,818,CIB,45-54,to_inst,North,direct,Yes,83159
109966,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,296500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,3180.0,EXP,662,CIB,25-34,to_inst,south,direct,no ,78950
72826,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,396500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7500.0,EXP,882,CIB,35-44,not_inst,south,direct,no,77041
69563,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,396500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,7020.0,CRIF,579,EXP,65-74,to_inst,south,direct,no ,35939
113085,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,546500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,13320.0,CIB,807,EXP,35-44,to_inst,south,direct,no,79754
110719,2019,cf,Male,,type1,p3,l1,nopc,nob/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7500.0,EXP,557,CIB,55-64,to_inst,North,direct,Yes,89636
64905,2019,cf,Sex Not Available,nopre,type1,p4,l2,nopc,nob/c,456500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9480.0,CRIF,795,CIB,65-74,to_inst,south,direct,no ,11765
94136,2019,ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,896500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,510,EXP,65-74,not_inst,central,direct,no,86960
92541,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,456500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6720.0,CIB,723,EXP,35-44,not_inst,south,direct,no ,27942
56613,2019,cf,Female,nopre,type1,p1,l2,nopc,nob/c,386500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6900.0,CRIF,855,CIB,45-54,not_inst,North,direct,no,42336
119642,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,396500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-9000.0,CIB,558,CIB,25-34,to_inst,south,direct,no ,47255
36418,2019,cf,Male,nopre,type3,p1,l1,nopc,nob/c,226500,300.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4380.0,CIB,677,CIB,55-64,to_inst,North,direct,no,64568
52024,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3480.0,EQUI,636,EXP,35-44,to_inst,central,direct,yes,88577
89673,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,596500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,15120.0,EXP,756,EXP,45-54,not_inst,south,direct,no ,92296
77396,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,206500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,-5040.0,EQUI,865,EXP,65-74,to_inst,south,direct,yes,57763
99413,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,106500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,0.0,CIB,674,EXP,65-74,to_inst,North,direct,no ,90049
32101,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,106500,240.0,not_neg,int_only,not_lpsm,sb,ir,home,1U,4380.0,CIB,859,EXP,45-54,to_inst,south,direct,no ,46918
55581,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10440.0,CIB,634,CIB,65-74,not_inst,North,direct,no,65008
58217,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,336500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,12960.0,EXP,564,EXP,35-44,not_inst,North,direct,no,58726
117675,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,316500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7680.0,CIB,785,EXP,65-74,to_inst,North,direct,no,11114
58623,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,546500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4800.0,CIB,820,EXP,65-74,to_inst,North,direct,no,66777
80814,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,326500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,4860.0,EQUI,646,EXP,65-74,to_inst,south,direct,Yes,99792
84760,2019,cf,Male,pre,type3,p1,l2,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-3120.0,CRIF,813,CIB,65-74,to_inst,North,direct,no,89179
79228,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-9600.0,CRIF,814,EXP,45-54,to_inst,south,direct,no ,71142
99309,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,386500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,5880.0,CRIF,606,EXP,45-54,to_inst,south,direct,no ,26413
31154,2019,cf,Female,nopre,type3,p4,l1,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CIB,558,CIB,>74,not_inst,south,direct,no,52371
113632,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3720.0,CIB,866,CIB,45-54,not_inst,North,direct,no ,87625
87855,2019,cf,Sex Not Available,pre,type3,p4,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,EXP,776,EXP,25-34,to_inst,south,direct,no,58198
71325,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2820.0,EXP,834,CIB,45-54,not_inst,North,direct,Yes,60682
97155,2019,cf,Joint,nopre,type1,p4,l2,nopc,nob/c,476500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8640.0,CRIF,747,EXP,55-64,not_inst,North,direct,no,42183
107094,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,576500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,578,CIB,45-54,not_inst,North,direct,no,25367
94728,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,386500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8820.0,EXP,793,CIB,55-64,to_inst,south,direct,no ,86740
61221,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,206500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2940.0,CRIF,517,EXP,55-64,to_inst,North,direct,Yes,79918
37558,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,646500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,860,EXP,45-54,to_inst,south,direct,no,96512
78021,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,376500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6240.0,EXP,523,EXP,55-64,to_inst,North,direct,no,64203
51014,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,516500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6420.0,CIB,655,EXP,35-44,not_inst,North,direct,no ,22046
